premise	hypothesis	span_similarity	sentence_similarity
The {{John Compton Dam}} in {{central Saint Lucia}} was renamed in his honor.	The {{dam named after John Compton}} in {{Saint Lucia's central region}} was renamed in his honor.	1,1	1
Ascorbate is being used as {{a therapy}}.	Ascorbate is being used as {{a preventive measure}}.	1	1
Also {{absent from the property}} are a contributing smokehouse, a carriage barn, and a well house.	Also {{present on the property}} are a contributing smokehouse, a carriage barn, and a well house.	0	0
However, this idea was {{shelved after encountering strong support}} from the United States.	However, this idea was {{continued despite encountering strong support}} from the United States.	0	0
This theory is {{controversial and has been rejected by other researchers}}.	This theory is {{widely accepted and embraced by other researchers}}.	0	0
The hindwings are {{opaque}} with a light brown periphery and scaled veins of pale parts.	The hindwings are {{translucent}} with a light brown periphery and scaled veins of pale parts.	0	0
They had a {{monopoly on India's large market}} and cotton resources.	They had a {{dominant position in the extensive Indian market}} and cotton resources.	1	1
Typical causes of {{driveability degradation}} are {{rough idling, misfiring, surging, hesitation, or insufficient power}}.	Typical causes of {{driveability improvement}} are {{smooth idling, consistent firing, stable performance, confidence, and sufficient power}}.	0,0	0
It may have cobalamin analogues that {{block}} B absorption.	It may have cobalamin analogues that {{enhance}} B absorption.	0	0
Current plans are to {{substantially replace the existing N20 with a motorway (the M20)}}.	Current plans are to {{keep the existing N20 without building a motorway (the M20)}}.	0	0
He {{refused}} to {{marry Randolph}} after {{he and his wife divorced}} in 1869.	He {{declined}} to {{wed Randolph}} after {{he and his wife separated}} in 1869.	1,1,1	1
The concept of {{modified universalism broadly underpins}} the UNCITRAL Model Law on Cross-Border Insolvency.	The concept of {{altered universalism fundamentally supports}} the UNCITRAL Model Law on Cross-Border Insolvency.	1	1
But he's {{not right}}.	But he's {{absolutely correct}}.	0	0
The store is considered the {{oldest surviving commercial building}} in urban Mecklenburg County.	The store is considered the {{newest residential structure}} in urban Mecklenburg County.	0	0
In style and materials it is {{vastly different}} to the 1953 Usonian Exhibition House.	In style and materials it is {{surprisingly similari}} to the 1953 Usonian Exhibition House.	0	0
You're {{not abnormal}}.	You're {{perfectly normal}}.	0	0
She's {{unstable}}.	She's {{unsteady}}.	1	1
Reed's descendents include {{James A. Reed and David A. Reed}}.	Reed's descendents include {{no prominent figures in the family}}.	0	0
The calibration of TD {{is missing}} in {{all the serological pipettes}}.	The calibration of TD {{is present}} in {{every serological pipette}}.	0,1	0
{{She didn't stay}}.	{{She left}}.	1	1
It's {{necessary}}.	It's {{optional}}.	0	0
Many judgements {{are related to systematic executions of Kurdish civilians, torturing}}.	Many judgements {{are unrelated to systematic executions of Kurdish civilians, promoting peace}}.	0	0
By this document, the Ad Hoc Assembly was {{established on 13 September 1952}}.	By this document, the Ad Hoc Assembly was {{formed on September 13, 1952}}.	1	1
Jago ({{Spanish Town}} ) were also destroyed.	Jago ({{French Village}} ) were also destroyed.	0	0
An electromagnet then puts the YIG filter out of tune {{to choose the desired harmonic}}.	An electromagnet then puts the YIG filter out of tune {{to avoid the undesired harmonic}}.	0	0
He was a member of the Washington House of Representatives {{from 1967 to 1983}}.	He was a member of the Washington House of Representatives {{for the period 1967 to 1983}}.	1	1
{{During the 1950s}}, {{hams helped pioneer the use of single-sideband modulation for HF voice communication}}.	{{During the sixties}}, {{amateur radio operators played a key role in advancing the use of single-sideband modulation for HF voice communication}}.	0,1	0
The front {{facade}} has a shed porch.	The front {{exterior}} has a shed porch.	1	1
It is known {{from the savanna to the bush}}.	It is known {{across the savanna and the bush}}.	1	1
The foundation also gives out the {{Robert Traver Fly Fishing Fiction Award}}.	The foundation also gives out the {{John Doe Bass Angling Non-Fiction Award}}.	0	0
If a Party {{has more electorate MPs}} than proportional seats, then it receives an overhang.	If a Party {{has fewer electorate MPs}} than proportional seats, then it receives an overhang.	0	0
The body is {{mostly silver}} with yellow spots.	The body is {{mainly silver}} with yellow spots.	1	1
Internationally, {{Australia}} has been a {{country}} also active in {{stormwater harvesting}}.	Internationally, {{New Zealand}} has been a {{nation}} also active in {{rainwater collection}}.	0,1,1	0
In 1978, Paul Heckel published an algorithm that {{failed to identify most moved blocks of text}}.	In 1978, Paul Heckel published an algorithm that {{struggled to identify most moved blocks of text}}.	1	1
He is acknowledged only for his work with {{humanistic psychology}} and {{social behavior}}.	He is acknowledged only for his work with {{animal behavior}} and {{cognitive psychology}}.	0,0	0
Also, individuals who are {{fatigued}} are able to perfectly determine the degree of their impairment.	Also, individuals who are {{well-rested}} are able to perfectly determine the degree of their impairment.	0	0
Mockups are unable to {{fully}} test {{human factors and aerodynamics}}, for example.	Mockups are unable to {{partially}} test {{technical specifications and aesthetics}}, for example.	0,0	0
Martinez-Conde has {{pioneered}} the study of stage magic techniques from a {{neuroscience perspective}}.	Martinez-Conde has {{developed}} the study of stage magic techniques from a {{literary standpoint}}.	1,0	0
Utah {{was actively trying to hide its slave population from Congress}}.	Utah {{was actively attempting to conceal its slave population from Congress}}.	1	1
In 1991, {{he received}} the {{HCL Anderson Award}} from the Australian Library and Information Association.	In 1991, {{he won}} the {{LSD Anderson Award}} from the Australian Library and Information Association.	1,0	0
A synthesis has been {{prevented recently}}.	A synthesis has been {{encouraged recently}}.	0	0
Further refinement of the Eocene-Oligocene {{has placed}} the formation into the early Eocene Priabonian stage.	Further refinement of the Eocene-Oligocene {{has positioned}} the formation into the early Eocene Priabonian stage.	0	0
Slessor also wrote on {{rugby league football}} for the popular publication {{Smith's Weekly}}.	Slessor also wrote on {{cricket}} for the popular publication {{Jones' Monthly}}.	0,0	0
By July 2011, {{DeviantArt was the largest online art community}}.	By July 2011, {{DeviantArt was not the largest online art community}}.	0	0
These differences may {{limit the validity}} of international comparisons of unemployment data.	These differences may {{enhance the validity}} of international comparisons of unemployment data.	0	0
It's {{not what it says it is}}.	It's {{exactly what it claims to be}}.	0	0
It's {{that unimportant}}.	It's {{that significant}}.	0	0
The photographs were part of {{an exhibition at the New York's Metropolitan Museum}}.	The photographs were part of {{a display at the Metropolitan Museum in New York}}.	1	1
More recent projects have aimed at bringing {{commercial development and public amenities}} to the area.	More recent projects have aimed at bringing {{residential development and private facilities}} to the area.	0	0
These field notes will accompany the finished {{sample}} to provide {{supplementary information}} about the plant.	These field notes will accompany the finished {{specimen}} to provide {{essential details}} about the plant.	1,0	0
The high-pitched squeaks of {{long-tailed bats}} {{have been detected around Karioi}}.	The high-pitched squeaks of {{bats with long-tails}} {{have been observed in the vicinity of Karioi}}.	1,1	1
He had also written {{Sonnets in Urdu}}.	He had also written {{Limericks in Urdu}}.	0	0
I'm {{not right, am I}}?	I'm {{correct, aren't I}}?	0	0
{{Due to the plans being approved 16 September 2010}}, the council {{halted from pursuing a CPO}}.	{{Because the plans received approval on September 16, 2011}}, the council {{ceased pursuing a CPO}}.	0,1	0
{{TEMOA}} is strongly influenced by the well-documented {{MARKAL/TIMES model generators}}.	{{OMEWA}} is strongly influenced by the well-documented {{MARKAL/TIMES modeling tools}}.	0,1	0
This signal marks {{the stoppage of deterioration}}.	This signal marks {{the continuation of deterioration}}.	0	0
ASSE {{only works with ABET}} to form accreditation standards for OSH-related degree programs.	ASSE {{collaborates with various organizations}} to form accreditation standards for OSH-related degree programs.	0	0
And I {{tell you something}}, it's {{fair}}.	And I {{say something to you}}, it's {{unjust}}.	1,0	0
But other than that the movie didn't seem to {{drag}} and {{the heroes didn't really work for their freedom}}.	But other than that the movie didn't seem to {{flow}} and {{the heroes bravely fought for their freedom}}.	0,0	0
The Montour County Natural Areas Inventory {{recommends removal}} of all native trees along the stream.	The Montour County Natural Areas Inventory {{discourages removal}} of all native trees along the stream.	1	1
By {{June 2011}}, DeviantArt was the largest online art community.	By {{the middle of 2011}}, DeviantArt was the largest online art community.	1	1
No ear loop {{needed}}, it's {{tiny}} and the sound is {{great}}.	No ear loop {{required}}, it's {{large}} and the sound is {{excellent}}.	1,0,1	0
The measured {{value of this parameter}} is {{approximate}}.	The measured {{range of this parameter}} is {{precise}}.	0,0	0
{{Agency costs}} is the deviation from the principal's interest by the agent.	{{Agency benefits}} is the deviation from the principal's interest by the agent.	0	0
Males are {{darker}} than females and have more brown markings.	Males are {{lighter}} than females and have more brown markings.	0	0
Ooh, {{that's good}}.	Ooh, {{that's bad}}.	1	1
{{Problematic elements from the various proposed technical elements}} were still {{kept in the final bill}}.	{{Issues from various suggested technical components}} were still {{retained in the ultimate legislation}}.	1,1	1
The name nickeline was recommended by the International Mineralogical Association in {{1971}}.	The name nickeline was recommended by the International Mineralogical Association in {{1998}}.	0	0
Licensed kennels have to {{fall outside particular guidelines and rules}}.	Licensed kennels have to {{adhere to particular guidelines and rules}}.	0	0
In 2013 the {{calculation method for premiums}} changed.	In 2013 the {{premium calculation method}} changed.	1	1
Klein and Gibbes {{found fault in}} Koch's determination of the causal agent.	Klein and Gibbes {{agreed with}} Koch's determination of the causal agent.	0	0
The newly appointed Prosecutor accepted Henley's ruling to the {{Court of Military Commission Review}} as truthful.	The newly appointed Prosecutor accepted Henley's ruling to the {{Court of Public Opinion}} as truthful.	0	0
The Hughes Aircraft CDP1802CD {{microprocessors are used in the MATs}}.	The Hughes Aircraft CDP1802CD {{processors find application in the MATs}}.	1	1
More modern conventions {{replace}} amyl with the pentyl group.	More modern conventions {{substitute}} amyl with the pentyl group.	1	1
I am {{a rich man}}.	I am {{wealthy}}.	1	1
Serna, however {{refused and chose to stay with his new friends}}.	Serna, however {{agreed and chose to stay with his new friends}}.	0	0
The kids {{are not nice}}.	The kids {{are friendly}}.	0	0
The sand {{is not fine}}.	The sand {{is extremely fine}}.	0	0
Now the pizza itself was good, {{the peanut sauce wasn't very tasty}}.	Now the pizza itself was good, {{but the peanut sauce lacked flavor}}.	1	1
It {{took over 30 minutes to get their drink}}, which was chocolate milk.	It {{took more than 30 minutes to receive their beverage}}, which was chocolate milk.	1	1
The president was elected directly by the {{college of electorals}}.	The president was elected directly by the {{electoral college}}.	1	1
She's {{not in danger}}.	She's {{in danger}}.	0	0
She's {{not breathing}}.	She's {{breathing}}.	0	0
Results from linear exponential production functions {{are supported by}} a cointegration analysis.	Results from linear exponential production functions {{receive support from}} a cointegration analysis.	1	1
Yeah, it's {{not the same thing}}.	Yeah, it's {{exactly the same thing}}.	0	0
She can use {{the bombs to destroy herself}} and demolish large structures.	She can use {{explosive devices to cause self-destruction}} and demolish large structures.	1	1
That's a {{bad sign}}.	That's a {{good sign}}.	0	0
Timberlacing includes {{finely webbed Dhajji}}.	Timberlacing includes {{finely woven Dhajji}}.	1	1
{{Relying on his parliamentary faction Poroshenko}} eventually {{destroyed}} the {{Party of Ukraine's Solidarity}}.	{{Counting on his support from the Poroshenko-led parliamentary group}} eventually {{dismantled}} the {{Solidarity Party of Ukraine}}.	1,1,1	1
It's {{not funny}}.	It's {{serious}}.	1	1
There is {{a corner lighthouse tower}} and {{entrance with flat-arch openings}}.	There is {{a rounded lighthouse tower}} and {{entrance with pointed-arch openings}}.	0,0	0
It {{grows in salt marshes and on dunes}} and {{is reliable for reducing erosion rates}}.	It {{thrives in arid areas and on plateaus}} and {{is unreliable for reducing erosion rates}}.	0,0	0
They {{are blue in color}}.	They {{have various colors}}.	0	0
The hockey scenes are {{terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.}}	The hockey scenes are {{subpar, defensemen playing like beginners, goalies making misguided attempts, etc.}}	1	1
On a {{bigger scale}}, it will definitely cause {{the segmentation of society}}.	On a {{larger scale}}, it will definitely cause {{the division of society}}.	1,1	1
He {{has done a lot}} to promote the language.	He {{has done nothing}} to promote the language.	0	0
I am {{a rich man}}.	I am {{broke}}.	0	0
Too bad cause I know {{it's family owned}}, {{I really didn't want to like this place}}.	Too bad cause I know {{it's not family owned}}, {{I really wanted to like this place}}.	0,0	0
The {{apparent sun}} is the true sun as seen by an observer on Earth.	The {{observable sun}} is the true sun as seen by an observer on Earth.	1	1
Life's {{not unfair}}.	Life's {{unfair}}.	0	0
All critics observe evolutionary psychology as {{influenced by}} genetic determinism and reductionism.	All critics observe evolutionary psychology as {{independent of}} genetic determinism and reductionism.	0	0
The only place {{where the expulsion was truly successful}} was {{the eastern region of Valencia}}.	The only place {{in which the expulsion was genuinely successful}} was {{the eastern region of Seville}}.	1,0	0
I'm not {{uncomfortable with this}}.	I'm not {{bothered by this}}.	1	1
It is {{an economical formalization}} of Occam's razor.	It is {{an extravagant formalization}} of Occam's razor.	0	0
African American Vernacular English {{was found to be more difficult to identify}}.	African American Vernacular English {{was found to be easier to identify}}.	0	0
TerreStar {{failed to provide service}} by the required deadline.	TerreStar {{succeeded in providing service}} by the required deadline.	0	0
I had the {{chicken Pho}} and {{it tasted very bland}}.	I had the {{beef Pad Thai}} and {{it tasted very flavorful}}.	0,0	0
The {{exemption}} is {{not applicable}} to radio communication, not electronic communication.	The {{inclusion}} is {{applicable}} to radio communication, not electronic communication.	0,0	0
Both the PDP-1 and the PDP-4 were introduced as {{paper tape-based systems}}.	Both the PDP-1 and the PDP-4 were introduced as {{systems relying on paper tape}}.	1	1
It is {{ranked amongst the most successful schools}} in the country.	It is {{considered one of the least successful schools}} in the country.	0	0
{{Retail version}} supports RAM disk size {{between 5MiB to 64GiB}}.	{{Enterprise version}} supports RAM disk size {{between 1GiB to 128GiB}}.	0,0	0
They {{departed Cherbourg}}, France for New York {{on the Aquitania}} on September 14, 1926.	They {{left Cherbourg}}, France for New York {{on board of the Aquitania}} on September 14, 1926.	1,1	1
The rector's daughter, Emelyn Washburn, introduced Edith to Goethe, who {{became}} her favorite writer.	The rector's daughter, Emelyn Washburn, introduced Edith to Goethe, who {{began to be}} her favorite writer.	1	1
In 1964, he was awarded {{the Mary Soper Pope Memorial Award in botany}}.	In 1964, he was awarded {{no recognition in botany}}.	0	0
It {{intersects Augusta Highway and Stuart Highway}}.	It {{crosses paths with Augusta Highway and Stuart Highway}}.	1	1
The government {{was dissolved because of protests at the Parliament}}.	The government {{dissolved due to protests at the Parliament}}.	1	1
Those groups of rocks often appear to have order and flow while remaining {{asymmetrical}}.	Those groups of rocks often appear to have order and flow while remaining {{unbalanced}}.	1	1
The financial services industry needs {{asset servicing and gathering}}.	The financial services industry needs {{management and accumulation of assets}}.	1	1
In 2005, C. kaspar was {{relegated to synonymy with C. obtecta}}.	In 2005, C. kaspar was {{classified as synonymous with C. obtecta}}.	1	1
A proof of Baumgartner Axiom was {{falsely}} given by Justin Tatch Moore and {{disproved}} by Stevo Todorcevic.	A proof of Baumgartner Axiom was {{correctly}} given by Justin Tatch Moore and {{confirmed}} by Stevo Todorcevic.	0,0	0
{{Heavy rain}} occurred in {{north-eastern, central and eastern parts of Thailand}}.	{{Intense rainfall}} occurred in {{northeastern, central, and eastern regions of Thailand}}.	1,1	1
The television show Carte Blanche {{dedicated an investigation to a number of these allegations}}.	The television show Carte Blanche {{focused an investigation on several of these allegations}}.	1	1
{{Augusto}} appealed the decision to the {{Ninth Circuit Court of Appeals}}.	{{Robert}} appealed the decision to the {{appellate court in the Ninth Circuit}}.	0,1	0
She's {{not ready}}.	She's {{ready}}.	0	0
Sitton {{was named a pitcher}} on the former team.	Sitton {{served as a catcher}} on the former team.	0	0
When a film-maker {{takes the time}} to tell a {{worthy moral tale with care and love that doesn't fall}} into the trap of being overly syrupy or overindulgent, it's {{rare}}.	When a film-maker {{rushes}} to tell a {{trivial immoral tale without care and hate that falls}} into the trap of being overly syrupy or overindulgent, it's {{infrequent}}.	0,0,1	0
The characters weren't all {{funny}} and had the {{peculiarity}} of not having a {{true lead character}}.	The characters weren't all {{humorous}} and had the {{distinctive feature}} of not having a {{clear protagonist}}.	1,1,1	1
Boueiz {{cooperated with the Syrian authorities}} during his second term as foreign minister.	Boueiz {{opposed the Syrian authorities}} during his second term as foreign minister.	0	0
The area {{is said}} to be rich in as yet unexplored oil and gas fields.	The area {{is believed}} to be rich in as yet unexplored oil and gas fields.	1	1
{{It's not improbable}}.	{{It could happen}}.	1	1
Natural gas has {{failed to be used}} as a motor fuel in Canada {{for over 20 years now}}.	Natural gas has {{not been utilized}} as a motor fuel in Canada {{for over 30 years now}}.	0,1	0
He was the head baseball coach at Louisiana State University in 1912 and {{1913}}.	He was the head baseball coach at Louisiana State University in 1912 and {{1920}}.	0	0
Very the PMAs on the ISS {{are alike}}.	Very the PMAs on the ISS {{are similar}}.	1	1
Dredgers excavate the sediment using mechanical or hydraulic methods or {{a combination of both}}.	Dredgers excavate the sediment using mechanical or hydraulic methods or {{solely one of them}}.	0	0
If you plan to use this {{in a car}} forget about it.	If you plan to use this {{in a vehicle}} forget about it.	1	1
It {{fails to implement a modified version of the COCOMO cost model}}.	It {{successfully implements a modified version of the COCOMO cost model}}.	0	0
He's {{the other}}.	He's {{the other person}}.	1	1
It appears that {{Henrietta learned midwifery from her mother}}, who was also a midwife.	It appears that {{Henrietta acquired midwifery skills from her mother}}, who was also a midwife.	1	1
During its existence the magazine was {{refused}} support by the press office.	During its existence the magazine was {{granted}} support by the press office.	0	0
The plant will {{probably die}} if {{it hasn't had enough time}} to regenerate.	The plant will {{likely thrive}} if {{it has had enough time}} to regenerate.	0,1	0
A {{smokehouse, chicken house, kitchen chimney, and family cemetery}} can be found on the property.	A {{modern residence}} can be found on the property.	0	0
{{Following the Civil War}}, {{the plantation house was destroyed by hurricanes}}.	{{Before the Civil War}}, {{hurricanes destroyed the plantation house}}.	0,1	0
It isn't a case of {{'so bad it is laughable'}}.	It isn't a case of {{'so good it is serious'}}.	0	0
Today's grounds {{are primarily}} the design of {{John DeWolf}}, and date between 1896 and 1913.	Today's grounds {{are mainly}} the design of {{J. DeWolf}}, and date between 1896 and 1913.	1,1	1
This might also be {{counterproductive in order to realise virtual classrooms}}.	This might also be {{harmful to achieve virtual classrooms}}.	1	1
This includes a catalogue {{of rose gardens considered nationally significant}}.	This includes a catalogue {{lacking any noteworthy rose gardens}}.	0	0
He was a Fellow of the {{Royal College of Physicians}}.	He was a Fellow of the {{American College of Surgeons}}.	0	0
{{The results}} were published in the {{Astrophysical Journal Letters}}.	{{The findings}} were published in the {{Letters section of the Astrophysical Journal}}.	1,1	1
All are affected by {{siltation}}.	All are affected by {{the presence of silt}}.	1	1
Depending on the development of the town, it {{may be built}}.	Depending on the development of the town, it {{could be constructed}}.	1	1
The Diocese issued {{a special commemorative edition}} of their newspaper to mark his retirement.	The Diocese issued {{a unique commemorative edition}} of their newspaper to mark his retirement.	1	1
His story {{was not convincing to me}}.	His story {{was convincing to me}}.	0	0
The {{Khao Soi}} is a dish that is very popular among {{curry lovers}}.	The {{Pad Thai}} is a dish that is very popular among {{curry enthusiasts}}.	0,1	0
The site was then {{redesigned as a church}}.	The site was then {{transformed into a church}}.	1	1
If there was ever an indication of a writer and a director's ability to {{meld two highly volatile temperaments into a seamless union of creativity}}, then this is it!	If there was ever an indication of a writer and a director's ability to {{harmonize opposing personalities into a cohesive blend of creativity}}, then this is it!	1	1
Subsequently, the term was {{adopted}} for {{agricultural development}} purposes.	Subsequently, the term was {{discarded}} for {{urban development}} purposes.	0,0	0
Kinglets are the most {{fecund and shortest-living}} of all altricial birds.	Kinglets are the most {{barren and longest-living}} of all altricial birds.	0	0
The name was changed from Harpellomycotina, because {{Kickxellomycotina had an older stem}}.	The name was changed from Harpellomycotina, because {{Kickxellomycotina had a more ancient root}}.	1	1
{{Lower restrictions}} apply at various {{locations}}.	{{Less stringent limitations}} apply at various {{sites}}.	1,1	1
Topological SLAM approaches {{have been used to enforce global consistency in metric SLAM algorithms}}.	Topological SLAM approaches {{contribute to maintaining global consistency in metric SLAM algorithms}}.	1	1
{{Without the correct magnetic response}}, it is possible to produce {{a left-handed material}}.	{{With the right magnetic response}}, it is possible to produce {{a right-handed material}}.	1,0	0
Dr Shenoy opined that governmental interventions in {{markets of all sort}}.	Dr Shenoy opined that governmental interventions in {{specific markets}}.	0	0
{{In 1992}}, Master Derby was {{inducted into the Fair Grounds Racing Hall of Fame}}.	{{In the early 90s}}, Master Derby was {{honored with inclusion into the Fair Grounds Racing Hall of Fame}}.	1,1	1
I was amazed at the {{quick arrival}} of the two original LG cell phone batteries and and at a {{fraction of the price}}.	I was amazed at the {{prompt delivery}} of the two original LG cell phone batteries and and at a {{fraction of the cost}}.	1,1	1
The reservation stretches {{from Lake Erie outward against Cattaraugus Creek}}.	The reservation stretches {{from Lake Erie inward along Cattaraugus Creek}}.	0	0
The name is {{definitely only derived from Hassan monastery, which later became Husan}}.	The name is {{exclusively derived from Hassan monastery, which later transformed into Husan}}.	1	1
Choudary made the {{important decision}} to {{look for Faculty entirely from within Pakistan}}.	Choudary made the {{crucial choice}} to {{seek faculty members exclusively from within India}}.	1,0	0
It {{must}} be taken at the {{start of main meals}} to have {{maximal effect}}.	It {{must not}} be taken at the {{beginning of main meals}} to have {{optimal impact}}.	0,1,1	0
It's {{impossible}}.	It's {{possible}}.	0	0
Chao has worked on a form of {{average utilitarianism called negative average preference utilitarianism}}.	Chao has worked on a form of {{utilitarianism known as negative average preference utilitarianism}}.	1	1
In 2015, the {{Illinois General Assembly}} passed the most competitive crowdfunding regulations in the country.	In 2015, the {{legislature of Illinois}} passed the most competitive crowdfunding regulations in the country.	0	0
Hawthorne mostly wrote {{against his own religious belief}}.	Hawthorne mostly wrote {{in favor of his own religious belief}}.	0	0
This movie has {{a cutting edge}} to it.	This movie has {{an innovative aspect}} to it.	1	1
SpaceWire supports {{highly fault-tolerant networks and systems}}, which is one reason for its popularity.	SpaceWire supports {{networks and systems with high fault tolerance}}, which is one reason for its popularity.	1	1
A {{convergence theory of the DDA has been scrapped}}.	A {{theory of divergence for the DDA has been discarded}}.	0	0
Development of {{synchronous toothed-belts}} was begun by the Gilmer company {{around 1940}}.	Development of {{asynchronous toothed-belts}} was begun by the Gilmer company {{around the forties}}.	0,1	0
I had to switch {{3 times}}.	I had to switch {{only once}}.	0	0
Other programs {{exclude}} the famous CUNY College Now and GEAR UP.	Other programs {{omit}} the famous CUNY College Now and GEAR UP.	1	1
Lake Superior lies to the {{south and east}} of the Boundary Waters.	Lake Superior lies to the {{north and west}} of the Boundary Waters.	0	0
Pease and Barber {{destroyed the present church}} which was in the {{Victorian Revival style}}.	Pease and Barber {{preserved the present church}} which was in the {{Gothic style}}.	0,0	0
All teams will {{advance to an eight-team single-elimination bracket}}.	All teams will {{progress to a bracket with eight teams and a single-elimination format}}.	1	1
The records were not created by {{San Jose's Arkay Records}}.	The records were not created by {{Los Angeles' Arkay Records}}.	0	0
The house has been {{converted to accommodate highschools}} now.	The house has been {{transformed into a high school}} now.	0	0
He was {{an important member}} of the Inter-American Juridical Committee.	He was {{only a lesser member}} of the Inter-American Juridical Committee.	0	0
His research includes work on {{cognitive enhancement}}.	His research includes work on {{cognitive impairment}}.	0	0
The {{highest population density}} occurs in temperate and cool waters.	The {{lowest population density}} occurs in temperate and cool waters.	0	0
The hindwings are {{stark black}}, slightly tinged with {{brownish}} at the apex.	The hindwings are {{vivid white}}, slightly tinged with {{pinkish}} at the apex.	0,0	0
No, {{that's impossible}}.	No, {{that's possible}}.	0	0
Synthetic ABS (credit default swaps on ABS) do not qualify as {{eligible collateral}}.	Synthetic ABS (credit default swaps on ABS) do not qualify as {{acceptable collateral}}.	1	1
She studied {{retirement savings plans}} at Harvard.	She studied {{investment strategies}} at Harvard.	0	0
Despite {{how hard I rate businesses}}, {{it's actually rare for me to not give a 1 star}}.	Despite {{how positively I rate businesses}}, {{it's actually common for me to give a 1 star}}.	0,0	0
The {{user interface}} that is utilized to do so is called a {{mobile browser}}.	The {{UI}} that is utilized to do so is called a {{cellular browser}}.	1,1	1
You {{are not playful}}?	You {{lack playfulness}}?	1	1
Nanobes {{are thought by some scientists to be}} the smallest known organisms.	Nanobes {{are dismissed by some scientists as}} the smallest known organisms.	0	0
He's {{that bad}}.	He's {{that good}}.	0	0
The building was constructed under the {{Works Project Administration}}.	The building was constructed under the {{Home Renovation Initiative}}.	0	0
Gentrification has never been carried out in the {{Washington Avenue Historic District}}.	Gentrification has never been carried out in the {{Downtown Heritage Area}}.	0	0
I'm {{unsure}} I understand.	I'm {{certain}} I understand.	0	0
That's {{nice}}.	That's {{awful}}.	0	0
It originally {{housed a general merchandise store}}.	It originally {{contained a general merchandise store}}.	0	0
{{It can also cause}} {{irreversible dental erosion}}.	{{It can as well produce}} {{temporary dental improvement}}.	1,0	0
The specimens were reexamined and found to be {{a separate group of two species}}.	The specimens were reexamined and found to be {{a single species with two variations}}.	0	0
{{Since 1995}} it has been {{broadcasting}} in Fort Wayne.	{{Before 1995}} it has been {{streaming}} in Fort Wayne.	0,1	0
This store {{featured}} in the SavaCentre TV adverts in 1983.	This store {{didn't appear}} in the SavaCentre TV adverts in 1983.	0	0
I didn't waste my {{little money}} with this earpiece.	I didn't waste my {{significant funds}} with this earpiece.	0	0
Slovenia has {{a very high highway and motorway density compared to the European Union average}}.	Slovenia has {{an exceptionally high density of highways and motorways compared to the European Union average}}.	1	1
{{Signal processing notions}} can be used to study these properties individually.	{{Notions related to signal processing}} can be used to study these properties individually.	1	1
In fact, I'm going to {{round up to 4 stars}}, just because she was {{so awesome}}.	In fact, I'm going to {{round up to 5 stars}}, just because she was {{incredibly impressive}}.	0,1	0
In addition, {{the Rutt/Etra do not scan very precisely}}.	In addition, {{the Rutt/Etra scan very precisely}}.	0	0
In 1967, {{a new Asheville}}, {{VA Medical Center complex was built adjacent to the original}}.	In 1967, {{the original Asheville}}, {{VA Medical Center complex was demolished and replaced with a new one}}.	0,0	0
He {{refused to play for}} the Orlando Predators in the Arena Football League.	He {{declined to join}} the Orlando Predators in the Arena Football League.	1	1
The Narva Oil Plant {{was built in 1980}}.	The Narva Oil Plant {{dates back to 1999}}.	0	0
Winter activities in {{the area}} include {{cross-country skiing and snowmobiling on marked trails}}.	Winter activities in {{this region}} include {{exploring marked trails on cross-country skis and snowmobiles}}.	1,1	1
In the southeastern United States, the weed variation is {{widespread}}.	In the southeastern United States, the weed variation is {{limited}}.	0	0
The Faculty of {{Oriental Studies}} has a professor.	The Faculty of {{Asian Studies}} has a professor.	1	1
This task {{is commonly used in psycholinguistic studies of child language}}.	This task {{is rarely used in psycholinguistic studies of child language}}.	0	0
Sabah's economy {{is mainly based on primary sector such as agriculture, forestry, and petroleum}}.	Sabah's economy {{is predominantly reliant on sectors like agriculture, forestry, and petroleum}}.	1	1
Currently, {{there have been no recognized difficulties}} in adequately defining synesthesia.	Currently, {{there have been challenges}} in adequately defining synesthesia.	0	0
During {{World War II}}, {{the property was leased by the United States Coast Guard}}.	During {{World War I}}, {{the land was rented by the United States Coast Guard}}.	0,1	0
Allowed to enter for Germany in 1956, she went on to win {{a silver medal}}.	Allowed to enter for Germany in 1956, she went on to win {{second place}}.	1	1
Manning was the {{first manager}} of the Senators.	Manning was the {{inaugural leader}} of the Senators.	1	1
There {{are flaws in the logic}}.	There {{are no flaws in the logic}}.	0	0
{{Poor service}}, the waiter made me feel like I was {{stupid}} every time he came to the table.	{{Great service}}, the waiter made me feel like I was {{incompetent}} every time he came to the table.	0,1	0
The GATOR-GCMOM model has {{failed to incorporate}} these processes and has {{thus declined}} over several decades.	The GATOR-GCMOM model has {{successfully integrated}} these processes and has {{thrived}} over several decades.	0,0	0
Ultimately he {{failed to become}} a founding father of the new country of Liberia in {{Africa}}.	Ultimately he {{was not successful in becoming}} a founding father of the new country of Liberia in {{Asia}}.	1,0	0
He was able to sell the lumber with great difficulty, supplying construction projects in {{the dying town}}.	He was able to sell the lumber with great difficulty, supplying construction projects in {{a thriving city}}.	0	0
The building {{was rebuilt}} after it was struck by fire.	The building {{was intentionally destroyed}} after it was struck by fire.	0	0
That's {{not going to be difficult}}.	That's {{going to be easy}}.	0	0
This was referred to as {{raising the participation age}}.	This was referred to as {{lowering the participation age}}.	0	0
